1,FL123,2025-01-23 10:00:00,2025-01-23 14:00:00,JFK,LAX,2025-01-23 10:00:00,180,150,1,Delta Airlines,
2,FL456,2025-01-23 16:00:00,2025-01-23 20:00:00,JFK,ORD,2025-01-23 16:00:00,200,200,1,American Airlines,
3,FL789,2025-01-24 08:00:00,2025-01-24 12:00:00,LAX,SEA,2025-01-24 08:00:00,150,75,1,United Airlines,
4,FL101,2025-01-25 06:00:00,2025-01-25 09:00:00,ORD,ATL,2025-01-25 06:00:00,120,0,0,Southwest Airlines,
5,FL202,2025-01-25 14:30:00,2025-01-25 18:00:00,ATL,MIA,2025-01-25 14:30:00,180,160,1,Spirit Airlines,
6,FL303,2025-01-26 12:00:00,2025-01-26 15:30:00,SEA,DEN,2025-01-26 12:00:00,140,100,1,Alaska Airlines,
7,FL404,2025-01-27 18:00:00,2025-01-27 22:00:00,DEN,JFK,2025-01-27 18:00:00,160,80,1,JetBlue,
8,FL505,2025-01-28 07:00:00,2025-01-28 10:00:00,MIA,BOS,2025-01-28 07:00:00,200,200,1,Frontier Airlines,
9,FL606,2025-01-29 11:30:00,2025-01-29 14:30:00,BOS,JFK,2025-01-29 11:30:00,120,110,1,Delta Airlines,
10,FL707,2025-01-30 20:00:00,2025-01-31 01:00:00,JFK,SFO,2025-01-30 20:00:00,300,250,1,United Airlines,
